,,,,,,,,,,
,Category,Consumer Building Blocks,,,,,,,,
,,,,,,,,,,
,CB1,"Skills to navigate the financial marketplace. The aim of this building block is to enable more Canadians to be aware of, know how to learn about, and have access to financial products and services that will help them achieve their goals.",,,,,,,,
,,1. Comments/observations on target outcome,,"This CBB overlaps with TO 1.1, TO 3.2 and TO 6.3, per the strategy this TO should cover the following ""It is important for people to be able to comparison shop, be aware of the different service providers and options, and know how to safeguard their interests....Consumers must be able to access financial products and services that meet their needs, while avoiding those that do not, as well as have a clear understanding of who to turn to if they have a complaint to resolve.""",,,,,,
,,2. Assessment of coverage of target outcome internationally,,😀,"Observations:
Some questions here involved budgeting and planning as as way to work toward goals. Other questions ask about level of knowledge about various products and resources.",,,,,
,,3. Best examples,,1,"[Building off list of products held by respondent]  How well informed are you about what exclusions there are on your insurance policy (ies)?
Very well, Fairly well, Neither well nor badly, Fairly badly, Very badly, DK",,,,,
,,,,2,"Do you do any of the following for yourself or your household?
Make a plan to manage your income and expenses
Keep a note of your spending
Keep money for bills separate from day-to-day spending money
Make a note of upcoming bills to make sure you don't miss them
Use a banking app or money management tool to keep track of your outgoings
Arrange automatic payments for regular outgoings",,,,,
,,,,3,"[Building off list of products held by respondent in their name]  How often do you personally check that this (name of product) is the best one for your needs?

1. at least once a year
2. less than once a year
3. do not check at all personally
4. Don't know",,,,,
,,,,4,,,,,,
,,,,5,,,,,,
,,4. Recommendations/ Proposed Indicators,,,,,,,,
,,5. All documented measures,,Total,37,,,,,
,Item,Flag,Source,Alignment to target,Sector,Objective vs. Subjective,Relates to consumer building block,Type of data ,Indicator/Question,Topic
,CB1.1,,OECD/INFE: Survey of adult financial literacy (Multiple countries),Strong,General,More objective,,Consumer survey,"[In reference to the financial product chosen most recently] which of the following statements best describes how you made your choice?
I considered several options from different companies before making my decision
I considered various options from one company
I didn’t consider any other options at all
I looked around but there were no other options to consider",Decisionmaking criteria
,CB1.2,,OECD/INFE: Survey of adult financial literacy (Multiple countries),Strong,General,More subjective,,Consumer survey,"Thinking about the time when you made your most recent choice, do any of these statements apply?
It was important for me to have a quick decision from the company
I trusted the company providing the product
I had already used other financial products from this company when I made this choice
I had not heard of this company before I chose this product",Decisionmaking criteria
,CB1.3,,OECD/INFE: Survey of adult financial literacy (Multiple countries),Strong,General,More objective,,Consumer survey,"Which of these sources of information do you feel most influenced your decision {about which one to take out}?
[Mark all that apply]
Specialist product comparisons or best-buy guidance (such as specialist magazine, or price  comparison website)
A recommendation from an independent financial advisor
Information from an advert or brochure about this specific product
A recommendation from friends, family or acquaintances
Information provided by bank staff (in person, online or over the phone)
Some other type of information
Refused the question",Decisionmaking criteria
,CB1.4,,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Moderate,Investments,More objective,,Consumer survey,"[Building off list of products held by respondent in their name] Do you know the interest rate/return you receive on this investment/this savings account?

1. Yes exactly
2. Yes, approximately
3. DK",Terms and conditions
,CB1.5,,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Moderate,Insurance,More objective,,Consumer survey,"[Building off list of products held by respondent in their name] Do you know how much you pay per year for the insurance policy?

1. Yes exactly
2. Yes, approximately
3. DK",Terms and conditions
,CB1.6,,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Moderate,Credit,More objective,,Consumer survey,"[Building off list of products held by respondent in their name]  Do you know the interest rate you pay on this loan/credit?

1. Yes exactly
2. Yes, approximately
3. DK",Terms and conditions
,CB1.7,,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Strong,Investments,More subjective,,Consumer survey,"[Building off list of products held by respondent in their name]  How well informed are you about the conditions relating to withdrawals from this investment(s) or savings account(s)

Very well
Fairly well
Neither well nor badly Fairly badly
Very badly
DK",Terms and conditions
,CB1.8,⭐️,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Strong,Insurance,More subjective,,Consumer survey,"[Building off list of products held by respondent]  How well informed are you about what exclusions there are on your insurance policy (ies)?
Very well, Fairly well, Neither well nor badly, Fairly badly, Very badly, DK",Terms and conditions
,CB1.9,⭐️,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Strong,General,More objective,,Consumer survey,"[Building off list of products held by respondent in their name]  How often do you personally check that this (name of product) is the best one for your needs?

1. at least once a year
2. less than once a year
3. do not check at all personally
4. Don't know",Information gathering
,CB1.10,,"SIFO, Consumption Research Norway: Financial Wellbeing Survey (Norway)",Moderate,General,More objective,,Consumer survey,"Have you personally been responsible for buying or renewing any of the following products in the past 3 years?

The following list is based on the typical level of complexity:
1. Investments
2. Health insurance, life insurance or income replacement insurance
3. Mortgages
4. Formal credit (loans from bank, credit cards)
5. General insurance (car insurance, household contents insurance, building insurance)
6. Deposit savings account
7. Current account
8. Mobile phone subscription
9. None of the above",Financial products used
